"cities_id","cities_name","cities_class","cities_caton","cities_kml","cities_population","cities_win_score","users_id","cities_win_dt"
"ALLOUVILLEBELLEFOSSE","ALLOUVILLE-BELLEFOSSE","MEDIUM",NULL,NULL,1200,NULL,NULL,NULL
"ALVIMARE","ALVIMARE","SMALL",NULL,NULL,500,NULL,NULL,NULL
"AMBRUMESNIL","AMBRUMESNIL","SMALL",NULL,NULL,500,NULL,NULL,NULL
"AMFREVILLECHAMPS","AMFREVILLE-LES-CHAMPS","SMALL",NULL,NULL,200,NULL,NULL,NULL
"AMFREVILLEMIVOIE","AMFREVILLE-LA-MI-VOIE","MEDIUM",NULL,NULL,3100,NULL,NULL,NULL
"ANCEAUMEVILLE","ANCEAUMEVILLE","SMALL",NULL,NULL,700,NULL,NULL,NULL
"ANCOURT","ANCOURT","SMALL",NULL,NULL,700,NULL,NULL,NULL
"ANCOURTEVILLESURHERICOURT","ANCOURTEVILLE-SUR-HERICOURT","SMALL",NULL,NULL,200,NULL,NULL,NULL
"ANCRETIEVILLESAINTVICTOR","ANCRETIEVILLE-SAINT-VICTOR","SMALL",NULL,NULL,400,NULL,NULL,NULL
"ANCRETTEVILLESURMER","ANCRETTEVILLE-SUR-MER","SMALL",NULL,NULL,200,NULL,NULL,NULL
"ANGERVILLEBAILLEUL","ANGERVILLE-BAILLEUL","SMALL",NULL,NULL,200,NULL,NULL,NULL
"ANGERVILLEMARTEL","ANGERVILLE-LA-MARTEL","SMALL",NULL,NULL,900,NULL,NULL,NULL
"ANGIENS","ANGIENS","SMALL",NULL,NULL,600,NULL,NULL,NULL
"ANGLESQUEVILLEBRASLONG","ANGLESQUEVILLE-LA-BRAS-LONG","SMALL",NULL,NULL,100,NULL,NULL,NULL
"ANNEVILLEAMBOURVILLE","ANNEVILLE-AMBOURVILLE","MEDIUM",NULL,NULL,1200,NULL,NULL,NULL
"ANNEVILLESURSCIE","ANNEVILLE-SUR-SCIE","SMALL",NULL,NULL,500,NULL,NULL,NULL
"ANNOUVILLEVILMESNIL","ANNOUVILLE-VILMESNIL","SMALL",NULL,NULL,500,NULL,NULL,NULL
"ANQUETIERVILLE","ANQUETIERVILLE","SMALL",NULL,NULL,400,NULL,NULL,NULL
"ANVEVILLE","ANVEVILLE","SMALL",NULL,NULL,300,NULL,NULL,NULL
"ARDOUVAL","ARDOUVAL","SMALL",NULL,NULL,200,NULL,NULL,NULL
"ARGUEIL","ARGUEIL","SMALL",NULL,NULL,300,NULL,NULL,NULL
"ARQUESBATAILLE","ARQUES-LA-BATAILLE","MEDIUM",NULL,NULL,2500,NULL,NULL,NULL
"ASSIGNY","ASSIGNY","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AUBEGUIMONT","AUBEGUIMONT","SMALL",NULL,NULL,200,NULL,NULL,NULL
"AUBERMESNILAUXERABLES","AUBERMESNIL-AUX-ERABLES","SMALL",NULL,NULL,200,NULL,NULL,NULL
"AUBERMESNILBEAUMAIS","AUBERMESNIL-BEAUMAIS","SMALL",NULL,NULL,500,NULL,NULL,NULL
"AUBERVILLECAMPAGNE","AUBERVILLE-LA-CAMPAGNE","SMALL",NULL,NULL,600,NULL,NULL,NULL
"AUBERVILLEMANUEL","AUBERVILLE-LA-MANUEL","SMALL",NULL,NULL,100,NULL,NULL,NULL
"AUBERVILLERENAULT","AUBERVILLE-LA-RENAULT","SMALL",NULL,NULL,400,NULL,NULL,NULL
"AUFFAY","AUFFAY","MEDIUM",NULL,NULL,1800,NULL,NULL,NULL
"AUMALE","AUMALE","MEDIUM",NULL,NULL,2400,NULL,NULL,NULL
"AUPPEGARD","AUPPEGARD","SMALL",NULL,NULL,700,NULL,NULL,NULL
"AUQUEMESNIL","AUQUEMESNIL","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AUTHIEUXRATIEVILLE","AUTHIEUX-RATIEVILLE","SMALL",NULL,NULL,400,NULL,NULL,NULL
"AUTHIEUXSURPORTSAINTOUEN","LES AUTHIEUX-SUR-LE-PORT-SAINT-OUEN","MEDIUM",NULL,NULL,1200,NULL,NULL,NULL
"AUTIGNY","AUTIGNY","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AUTRETOT","AUTRETOT","SMALL",NULL,NULL,700,NULL,NULL,NULL
"AUVILLIERS","AUVILLIERS","SMALL",NULL,NULL,100,NULL,NULL,NULL
"AUZEBOSC","AUZEBOSC","SMALL",NULL,NULL,1000,NULL,NULL,NULL
"AUZOUVILLEAUBERBOSC","AUZOUVILLE-AUBERBOSC","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AUZOUVILLESURRY","AUZOUVILLE-SUR-RY","SMALL",NULL,NULL,600,NULL,NULL,NULL
"AUZOUVILLESURSAANE","AUZOUVILLE-SUR-SAANE","SMALL",NULL,NULL,200,NULL,NULL,NULL
"AVESNESBRAY","AVESNES-EN-BRAY","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AVESNESVAL","AVESNES-EN-VAL","SMALL",NULL,NULL,300,NULL,NULL,NULL
"AVREMESNIL","AVREMESNIL","SMALL",NULL,NULL,900,NULL,NULL,NULL
"BACQUEVILLECAUX","BACQUEVILLE-EN-CAUX","MEDIUM",NULL,NULL,1800,NULL,NULL,NULL
"BAILLEULNEUVILLE","BAILLEUL-NEUVILLE","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BAILLOLET","BAILLOLET","SMALL",NULL,NULL,100,NULL,NULL,NULL
"BAILLYRIVIERE","BAILLY-EN-RIVIERE","SMALL",NULL,NULL,600,NULL,NULL,NULL
"BAONSCOMTE","BAONS-LE-COMTE","SMALL",NULL,NULL,300,NULL,NULL,NULL
"BARDOUVILLE","BARDOUVILLE","SMALL",NULL,NULL,600,NULL,NULL,NULL
"BARENTIN","BARENTIN","BIG",NULL,NULL,12200,NULL,NULL,NULL
"BAROMESNIL","BAROMESNIL","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BAZINVAL","BAZINVAL","SMALL",NULL,NULL,400,NULL,NULL,NULL
"BEAUBECROSIERE","BEAUBEC-LA-ROSIERE","SMALL",NULL,NULL,500,NULL,NULL,NULL
"BEAUMONTHARENG","BEAUMONT-LE-HARENG","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BEAUREPAIRE","BEAUREPAIRE","SMALL",NULL,NULL,500,NULL,NULL,NULL
"BEAUSSAULT","BEAUSSAULT","SMALL",NULL,NULL,400,NULL,NULL,NULL
"BEAUTOT","BEAUTOT","SMALL",NULL,NULL,100,NULL,NULL,NULL
"BEAUVALCAUX","BEAUVAL-EN-CAUX","SMALL",NULL,NULL,400,NULL,NULL,NULL
"BEAUVOIRLYONS","BEAUVOIR-EN-LYONS","SMALL",NULL,NULL,600,NULL,NULL,NULL
"BECMORTAGNE","BEC-DE-MORTAGNE","SMALL",NULL,NULL,700,NULL,NULL,NULL
"BELBEUF","BELBEUF","MEDIUM",NULL,NULL,2000,NULL,NULL,NULL
"BELLENCOMBRE","BELLENCOMBRE","SMALL",NULL,NULL,700,NULL,NULL,NULL
"BELLENGREVILLE","BELLENGREVILLE","SMALL",NULL,NULL,500,NULL,NULL,NULL
"BELLEVILLECAUX","BELLEVILLE-EN-CAUX","SMALL",NULL,NULL,600,NULL,NULL,NULL
"BELLEVILLESURMER","BELLEVILLE-SUR-MER","SMALL",NULL,NULL,800,NULL,NULL,NULL
"BELLIERE","LA BELLIERE","SMALL",NULL,NULL,100,NULL,NULL,NULL
"BELMESNIL","BELMESNIL","SMALL",NULL,NULL,500,NULL,NULL,NULL
"BENARVILLE","BENARVILLE","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BENESVILLE","BENESVILLE","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BENNETOT","BENNETOT","SMALL",NULL,NULL,200,NULL,NULL,NULL
"BENOUVILLE","BENOUVILLE","SMALL",NULL,NULL,100,NULL,NULL,NULL
